drug	excipient	contact_av	LF_KE	LF_PE	AvDist_1	AvDist_2	AvDist_3	AvDist_4	d(distance)_max_1	d(distance)_max_2	d(distance)_max_3	d(distance)_max_4	d(distance)_avg_1	d(distance)_avg_2	d(distance)_avg_3	d(distance)_avg_4	Variance_1	Variance_2	Variance_3	Variance_4
Sorafenib	caffeine	0.09	21.40318601	-1844.636682	25.875372	25.88089	27.536453	27.545477	1961.2858239999998	1953.6150440000001	1272.8159679999999	1666.273282	38.47719444	38.86621248	35.14440816	34.61698379	109.959694	109.772224	100.26980999999999	100.136055
Sorafenib	succinic_acid	0.0115	13.20032695	-1212.499051	38.677273	38.694542	39.2963	39.309353	3475.989202	3412.912141	2110.688832	3147.582872	48.90509892	48.47086899	72.50867473	73.65453666	401.13568	401.85037	360.1956	361.07122999999996
Sorafenib	octyl_gallate	3.5410000000000004	21.67240766	-523.6730011	0.36386979999999997	0.3776055	0.37807158	0.40891865	384.7653772	762.4138387999999	768.2094093	1278.552389	-0.73882884	-0.088067668	-0.473283115	-0.050848644000000005	0.006348795999999999	0.022962889	0.008629546	0.02900014
Sorafenib	DL-malic_acid	0.013999999999999999	13.04795681	-1113.666669	21.656012	21.684135	24.991657	25.026085000000002	2113.359999	1579.83772	1884.9136429999999	1956.6050649999997	49.02597707	49.00922519	11.89524065	12.2037965	149.4046	148.74585	57.415524	57.500793
Sorafenib	adipic_acid	0.0705	20.04166892	-1103.938549	24.440334	24.442545000000003	33.161163	33.181103	2913.664509	2617.752573	1615.682808	1581.649007	69.02000438	69.61965584	45.12540753	45.50894328	210.60277000000002	210.57578999999998	219.31662000000003	218.85841000000002
Sorafenib	Triazabicyclodecene	2.017	18.047747100000002	-1901.100359	0.3024498	0.303408	40.61	40.61118	402.9056922	532.5324593	1842.520326	1975.465298	-0.19275181800000002	-0.341196557	70.36066293	70.86994059	0.0008440289999999999	0.001075374	365.92663999999996	364.43127000000004
Sorafenib	DBU	0.7825	20.84106605	-764.4356328	13.03817	13.056763	21.39777	21.404132999999998	3691.9160950000005	3792.285732	1999.529821	2538.267857	30.73589081	30.99858095	17.30535756	18.14709962	155.56578000000002	155.99683000000002	63.510475	63.435265
Sorafenib	L-asparagine	0.021	16.59882986	-1160.5151369999999	23.056164000000003	23.072526999999997	26.975208000000002	26.977015	3063.189657	3578.505763	1755.916438	2192.453748	54.07216957	54.50572224	43.88409702	43.79473679	131.80886999999998	131.61643999999998	141.20009	140.8465
Sorafenib	theobromine	1.197	16.282414300000003	-2311.1886170000002	9.3302145	9.343715	17.553539999999998	17.553801999999997	3845.719172	3160.310151	2246.3765559999997	2418.12448	12.29156038	11.93950021	41.49968482	40.74227571	101.89239	101.24169	252.70485	252.04034
Sorafenib	3,3'-thiodipropionic_acid	0.0015	15.23209248	-1144.791375	18.219829999999998	19.796885999999997	27.940355	28.931634999999996	2000.362625	2100.503634	2034.130563	2852.890829	33.44953467	28.67827568	51.760808000000004	50.10513846	48.653572	57.02086	165.10796000000002	155.24194
